iter	Logloss
0	0.6729668259
1	0.6574682073
2	0.6400087491
3	0.6202720822
4	0.6059012525
5	0.5897639959
6	0.5761190081
7	0.5636606512
8	0.546139931
9	0.5337487732
10	0.5243023916
11	0.5112657512
12	0.4979360361
13	0.4853539071
14	0.4813587515
15	0.4726165809
16	0.4637148265
17	0.4554736056
18	0.4476276384
19	0.4402594773
20	0.4317081645
21	0.4218690251
22	0.4171634565
23	0.409912185
24	0.4053383677
25	0.3992126162
26	0.3925204177
27	0.3867218887
28	0.3838548625
29	0.3795569891
30	0.3753533913
31	0.3684308928
32	0.3653090239
33	0.3613490751
34	0.3580490925
35	0.3532071214
36	0.3487162726
37	0.3452968668
38	0.3400210318
39	0.3366424674
40	0.3329595592
41	0.3305242791
42	0.3264793954
43	0.3242026782
44	0.3200375015
45	0.3160424215
46	0.3137629437
47	0.3113523575
48	0.307810768
49	0.3040754089
50	0.3002204753
51	0.2979698134
52	0.2965614669
53	0.2936084658
54	0.293152782
55	0.2907252164
56	0.2887806946
57	0.2868709068
58	0.28399783
59	0.2822937239
60	0.2796848302
61	0.2769620723
62	0.274356601
63	0.2719524246
64	0.2700762176
65	0.2680324852
66	0.2660982683
67	0.2629441234
68	0.2608880819
69	0.2598052752
70	0.257966922
71	0.2557565153
72	0.253363627
73	0.251504475
74	0.2496027421
75	0.2478246866
76	0.2465506628
77	0.2456464425
78	0.2435477445
79	0.2420872118
80	0.2413185243
81	0.2402648169
82	0.2386599402
83	0.2378519618
84	0.236597073
85	0.2348705419
86	0.2334809522
87	0.2319577204
88	0.2310602124
89	0.2297281977
90	0.2277323216
91	0.2265527245
92	0.2254010925
93	0.2241281275
94	0.2227822721
95	0.2211865091
96	0.2199227334
97	0.2193368111
98	0.2184991281
99	0.2175101808
100	0.2165180759
101	0.2156383604
102	0.2149042179
103	0.2130628583
104	0.2119977306
105	0.211125635
106	0.210439708
107	0.2093660149
108	0.2087803951
109	0.2077033174
110	0.2068475584
111	0.2062220615
112	0.2057360303
113	0.2043402198
114	0.2035051083
115	0.2028379003
116	0.2022260739
117	0.2007948487
118	0.2006304243
119	0.2002221619
120	0.1994189862
121	0.1987902182
122	0.1977719445
123	0.1972726021
124	0.1964903575
125	0.1951682884
126	0.1945332996
127	0.1941397099
128	0.1936964486
129	0.1930470898
130	0.1913108967
131	0.1904810985
132	0.1900192885
133	0.1889907289
134	0.1881960806
135	0.1874927771
136	0.1869857202
137	0.1863888122
138	0.1857701033
139	0.1852027297
140	0.1846803762
141	0.183879148
142	0.1831818951
143	0.1827673173
144	0.1821190552
145	0.1816226624
146	0.1807665441
147	0.1802774309
148	0.1793090745
149	0.1791493015
150	0.1785280211
151	0.1777098702
152	0.177268254
153	0.1772290009
154	0.1763893893
155	0.1755186929
156	0.1749029715
157	0.1742866639
158	0.1738133578
159	0.1731608602
160	0.1729720634
161	0.1724903811
162	0.1720983418
163	0.1713678107
164	0.1708781114
165	0.1702272588
166	0.1692103654
167	0.1685011815
168	0.1679102863
169	0.1673900316
170	0.1670515587
171	0.166582091
172	0.1661300186
173	0.1658144624
174	0.1647404289
175	0.1638454735
176	0.1633522762
177	0.1627365547
178	0.1624457301
179	0.1618758985
180	0.1611453485
181	0.1608029428
182	0.160560277
183	0.1600694243
184	0.1597942177
185	0.1594483329
186	0.1587935664
187	0.1581382988
188	0.1576000341
189	0.1572200865
190	0.1568802239
191	0.1563744055
192	0.1556568453
193	0.154989382
194	0.1544333911
195	0.1541600186
196	0.1537975136
197	0.1533816596
198	0.1531739454
199	0.1526799161
200	0.1524098903
201	0.1518597042
202	0.1514588159
203	0.151088483
204	0.1507622815
205	0.1504425843
206	0.1501999185
207	0.1498815449
208	0.1496984583
209	0.1491227463
210	0.1488092888
211	0.1484206529
212	0.148186439
213	0.1478657681
214	0.1476869453
215	0.1469310775
216	0.146595195
217	0.146139152
218	0.1457759474
219	0.1456261579
220	0.1454672642
221	0.1452783445
222	0.1447702193
223	0.144763696
224	0.1441375562
225	0.1437061598
226	0.143505035
227	0.1431950944
228	0.142762866
229	0.1425157096
230	0.1421150198
231	0.1418841148
232	0.1418304822
233	0.1413623663
234	0.1411179232
235	0.1407560044
236	0.1404744164
237	0.1401201931
238	0.1398787374
239	0.1396142329
240	0.1393165352
241	0.1388270533
242	0.1380675551
243	0.1377064115
244	0.1372139327
245	0.1369358805
246	0.1366577338
247	0.1364268098
248	0.1361947515
249	0.1359894669
250	0.1354771157
251	0.1352824479
252	0.1349175984
253	0.1347623539
254	0.1343292558
255	0.1339646237
256	0.133664676
257	0.1333203511
258	0.1329724431
259	0.1327239726
260	0.1322854478
261	0.1319148786
262	0.1315589914
263	0.1313620453
264	0.131174884
265	0.1307623295
266	0.1301087069
267	0.1299921672
268	0.1297351407
269	0.1295409551
270	0.1294403076
271	0.1293788281
272	0.1290664389
273	0.1288517759
274	0.1286093559
275	0.1281954967
276	0.1278879953
277	0.127625079
278	0.1272537061
279	0.1269688943
280	0.1266898873
281	0.1264074768
282	0.1262122323
283	0.1255262675
284	0.1252088015
285	0.1245477008
286	0.1241994525
287	0.1239154253
288	0.1235441943
289	0.1233808477
290	0.1228400116
291	0.1227917299
292	0.1226189766
293	0.1221856326
294	0.122143912
295	0.1218359095
296	0.1213932534
297	0.1210172008
298	0.1207589264
299	0.1204500825
300	0.1201571402
301	0.1199026947
302	0.1196566538
303	0.1193354535
304	0.1190677723
305	0.1188790512
306	0.1186621948
307	0.1184355063
308	0.1180049135
309	0.1178075136
310	0.1175380929
311	0.1173186084
312	0.1169982872
313	0.1167013932
314	0.1165761179
315	0.116362684
316	0.1161297558
317	0.1160182078
318	0.1157704936
319	0.115604481
320	0.1153209266
321	0.1149689156
322	0.1147146119
323	0.1145220524
324	0.114291535
325	0.1142178125
326	0.1140873565
327	0.1138844165
328	0.1137329253
329	0.113436693
330	0.1133934881
331	0.1131385983
332	0.1130397092
333	0.1127992179
334	0.1127127892
335	0.112480173
336	0.1122603387
337	0.1120986844
338	0.11203348
339	0.1115854256
340	0.1114360332
341	0.1114264185
342	0.1109980662
343	0.1106576837
344	0.1104973435
345	0.1102801468
346	0.1100392962
347	0.1098294926
348	0.1093954396
349	0.1090212967
350	0.1088078722
351	0.1087983615
352	0.1083372605
353	0.10806853
354	0.1074788355
355	0.1071820738
356	0.1070137355
357	0.1065986284
358	0.1063529089
359	0.1061624482
360	0.1058711982
361	0.1057926258
362	0.1055710898
363	0.1052877244
364	0.1050717
365	0.1048050399
366	0.1045205117
367	0.1042563002
368	0.1040184843
369	0.103807603
370	0.103578551
371	0.1034347175
372	0.1032892674
373	0.1031006975
374	0.1029845549
375	0.1028119244
376	0.1027901896
377	0.1027844511
378	0.1026195162
379	0.1024135131
380	0.1021209017
381	0.1019924499
382	0.101810479
383	0.1016505169
384	0.1014395316
385	0.1012791441
386	0.1010451949
387	0.1009481021
388	0.1008369607
389	0.1004961621
390	0.1002937515
391	0.1001333168
392	0.09995060842
393	0.09962443525
394	0.09945126596
395	0.09929783666
396	0.09919631939
397	0.09900424206
398	0.09886674278
399	0.09878099482
400	0.09842158132
401	0.0982809244
402	0.09809495437
403	0.09808648356
404	0.09789649557
405	0.09767947853
406	0.09754380388
407	0.09743610368
408	0.09730209294
409	0.09713711083
410	0.09701466235
411	0.09670402215
412	0.09649652531
413	0.09619208694
414	0.09607370369
415	0.09594926988
416	0.09583196439
417	0.09555313697
418	0.09543014961
419	0.09525958963
420	0.09505064632
421	0.09485074106
422	0.09484333856
423	0.09471351595
424	0.0946400393
425	0.09434026177
426	0.09425501487
427	0.09419805439
428	0.09397851313
429	0.09384784911
430	0.09368387858
431	0.09359813061
432	0.09325597071
433	0.09300330255
434	0.09270664485
435	0.09235693117
436	0.09205990476
437	0.09195012467
438	0.09180423023
439	0.09163977754
440	0.09150392327
441	0.09136933583
442	0.09106859399
443	0.09089448874
444	0.09072543195
445	0.09058942641
446	0.09036685986
447	0.09014576814
448	0.09000993277
449	0.08987388942
450	0.08975000393
451	0.08960323972
452	0.08926327314
453	0.08910659166
454	0.08893351691
455	0.08876766503
456	0.08865848054
457	0.08853886828
458	0.088258982
459	0.08803631146
460	0.08786516532
461	0.08766758575
462	0.08758708476
463	0.08734993066
464	0.08719996153
465	0.08707129231
466	0.08685137289
